ApprovedSymbol	Type	Pair.Evidence	F5.PrimaryCells.Expression_Max	Adipocyte Breast	Adipocyte Omental	Adipocyte Perirenal	Adipocyte Subcutaneous	Alveolar Epithelial	Amniotic Epithelial	Amniotic Membrane	Annulus Pulposus	Astrocyte Cerebellum	Astrocyte Cerebral Cortex	Basophils	Bronchial Epithelial	CD133+ Haematopoietic stem cell	CD14+ Monocyte derived Endothelial progenitor	CD14+ Monocytes	CD14+CD16+ Monocytes	CD14+CD16- Monocytes	CD14-CD16+ Monocytes	CD19+ B cells	CD34+ Haematopoietic stem cell	CD34+ progenitor	CD4+ T cells	CD4+CD25+CD45RA+ naive regulatory T cells	CD4+CD25+CD45RA- memory regulatory T cells	CD4+CD25-CD45RA+ naive conventional T cells	CD4+CD25-CD45RA- memory conventional T cells	CD8+ T cells	Cardiac Myocyte	Chondroblast	Chondrocyte	Chorionic Membrane	Ciliary Epithelial	Corneal Epithelial	Dendritic Monocyte Immature derived	Dendritic Plasmacytoid	ES cells	Endothelial Aortic	Endothelial Artery	Endothelial Lymphatic	Endothelial Microvascular	Endothelial Thoracic	Endothelial Umbilical Vein	Endothelial Vein	Eosinophils	Esophageal Epithelial	Fibroblast Aortic Adventitial	Fibroblast Cardiac	Fibroblast Choroid Plexus	Fibroblast Conjunctival	Fibroblast Dermal	Fibroblast Gingival	Fibroblast Lymphatic	Fibroblast Periodontal Ligament	Fibroblast Pulmonary Artery	Fibroblast Skin Normal	Gingival Epithelial	Granulocyte Macrophage progenitor	Hair Follicle Dermal Papilla	Hair Follicle Outer Root Sheath	Hepatic Sinusoidal Endothelial	Hepatic Stellate	Hepatocyte	Immature Langerhans	Intestinal Epithelial (polarized)	Iris Pigment Epithelial	Keratinocyte Epidermal	Keratinocyte Oral	Keratocytes	Lens Epithelial	Macrophage Monocyte derived	Mallassez derived	Mammary Epithelial	Mast cells	Mast cells stimulated	Mature Adipocyte	Melanocyte	Meningeal	Mesenchymal precursor Adipose	Mesenchymal precursor Bone Marrow	Mesenchymal precursor Cardiac	Mesenchymal stem cell Adipose	Mesenchymal stem cell Amniotic Membrane	Mesenchymal stem cell Bone Marrow	Mesenchymal stem cell Hepatic	Mesenchymal stem cell Umbilical	Mesenchymal stem cell Wharton's Jelly	Mesothelial	Migratory Langerhans	Multipot. Cord Blood Unrestrict. Somatic stem cell	Myoblast	Myotube	NK cells	Nasal Epithelial	Neural stem cell	Neurons	Neutrophils	Nucleus Pulposus	Olfactory Epithelial	Osteoblast	Osteocyte	Pancreatic Stromal	Pericytes	Placental Epithelial	Preadipocyte Breast	Preadipocyte Omental	Preadipocyte Perirenal	Preadipocyte Subcutaneous	Preadipocyte Visceral	Prostate Epithelial	Prostate Stromal	Renal Cortical Epithelial	Renal Epithelial	Renal Glomerular Endothelial	Renal Mesangial	Renal Proximal Tubular Epithelial	Reticulocyte	Retinal Pigment Epithelial	Salivary Acinar	Sebocyte	Sertoli	Skeletal Muscle	Skeletal Muscle Satellite	Small Airway Epithelial	Smooth Muscle Aortic	Smooth Muscle Brachiocephalic	Smooth Muscle Brain Vascular	Smooth Muscle Bronchial	Smooth Muscle Carotid	Smooth Muscle Colonic	Smooth Muscle Coronary Artery	Smooth Muscle Esophageal	Smooth Muscle Internal Thoracic Artery	Smooth Muscle Prostate	Smooth Muscle Pulmonary Artery	Smooth Muscle Subclavian Artery	Smooth Muscle Tracheal	Smooth Muscle Umbilical Artery	Smooth Muscle Umbilical Vein	Smooth Muscle Uterine	Synoviocyte	Tenocyte	Trabecular Meshwork	Tracheal Epithelial	Urothelial
COL1A2	ligand	literature supported	13494.89	5782.82	8476.79	5262.82	2678.53	58.1	890.03	970.09	1524.42	1733.08	217.06	50.32	0.12	0	0	17.61	0	0	0	0	0	0.28	0.48	0.04	0.04	0	0	0.01	2293.49	7106.07	6288.5	893.23	471.85	0.19	0.72	0	19.54	32.08	2.64	5.36	7.44	11.53	5.91	6.66	0	0.87	2971.29	2288.73	6256.51	795.52	585.05	4578.04	1894.44	3672.06	1675.05	6175.82	3	0	3916.71	3389.96	571.3	7239.47	31.62	2.7	0.49	434.41	0.41	1.39	1223.7	702.59	1.14	25.74	12.14	18.39	0	65.65	120.58	1211.41	5262	4170.35	3732.51	3733.06	2929.13	1173.94	3664.62	3842.7	3426.22	704.2	7.82	4314.66	1062.26	5714.25	0	365.78	25.63	49.12	0	1437.83	7879.46	3161.76	4288.68	1754.7	7338.11	2393.29	9587.13	7686.93	5972.34	2247.64	1386.77	1.7	3050.78	2.05	5.67	3.74	202.86	3.35	0	74.51	28.41	147.57	6052.96	1151.92	2261.17	2.21	1699.03	2338.38	2429.88	2273.7	2292.73	2497.53	1569.24	2529.84	2170.19	3236.27	4333.86	2182.06	3036.98	2112.35	1936.64	645.31	5176.88	13494.89	1392.26	35.64	1.34
COL2A1	ligand	literature supported	1596.89	0	0	0	0	0	0	0.38	0	0.65	0.09	0.15	0	0.29	0	0	0	0	0	0	0.26	0	0	0	0	0	0	0.02	0	0.48	1596.89	0	3.01	0	0	0	2.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121.02	0	0	0	0	2.36	0	0	0	0	0	0	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	1.24	0.89	0.06	0	0.83	0	0.37	5.52	0	0.93	1.41	0	0	0	0	0	31.81	0	0.04	0.52	0	0	0.15	0	0	0	0	0	0.03	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0.66	0	0.05	0	0.11	0	0	0	0
COL3A1	ligand	literature supported	7932.57	3476.13	6371.09	3375.95	1320.46	36.43	1779.67	2396.53	1794.49	51.3	42.59	115.23	0.31	0	0	13.95	0	0.1	0.07	0.25	0.26	0.28	0	0	0	0	0	0.02	1842.71	1997.35	7769.5	644.35	11.37	0	0.59	0	4.52	4.83	0.28	0.35	3.01	1.4	1.34	5.37	0	0.44	1149.89	1499.6	3398.09	534.49	165.14	727.46	1929.76	392.74	819.43	1077.46	0.18	0	816.28	663.67	94.18	5407.42	88.96	1.16	0.61	119.93	0.13	1.3	268.15	182.36	0.35	5.18	5.88	20.19	0.99	303.69	70.14	587.71	3408.56	2492.93	1995.85	1688.66	902.11	110.19	5793.39	7932.57	3271.61	1413.74	0.09	2233.17	218.24	4762.23	0	720.05	23.9	11.57	0	1436.58	1773.55	520.64	1415.21	333.81	2692.86	1054.55	2677.84	3137.72	1626.66	833.72	805.44	7.25	1473.5	1.21	11.19	3.08	62.44	7	0	26.94	67.71	43.63	3952.82	741.7	1504.4	2.06	1163.61	540.72	1562.37	847.17	1550.32	3371.09	448.33	1427.79	886.55	2766.66	2923.52	761.18	1298.92	530.26	2432.82	323.19	1047.7	4402.33	589.07	18.8	0.17
COL4A1	ligand	literature supported	2734.52	692.79	1052.11	585.34	859.47	380.29	137.91	32.02	42.03	114.38	191.29	0.62	12.18	0	0	1.85	0	0	0	0	0.53	0	0	0	0.05	0	0	0	258.68	121.16	41.88	576.87	146.02	9.89	0.16	0	17.83	153.09	282.18	1055.1	1257.07	831.08	128.56	138.66	0	62.36	236.95	832.51	2191.82	13.36	20.13	90.75	779.51	97.29	684	281.43	47.25	0	28.34	3.17	1466	632.43	27.29	0	0	139.14	9.61	18.43	1.79	745.76	0	98.57	31.64	1.91	0	794.15	57.66	618.44	32	35.64	60.77	570.86	1275.26	36.87	939.4	469.97	764.25	351.52	0.48	1276.23	148.95	143.88	0.04	7.94	101.94	48.98	0	47.42	279.5	332.97	186.53	17.38	2734.52	21.13	318.34	564.5	329.49	34.55	46.48	71.69	96.5	552.44	789.33	1777.25	934.43	263.75	0	101.05	10.37	114.2	374.39	69.34	61.22	58.6	104.66	469.14	894.62	91.35	109.26	215.49	228.97	393.03	303.2	165.32	21.47	179.7	116.12	638.29	285.38	14.9	7.05	80.65	23.37	9.44	95.55
COL4A2	ligand	literature supported	1642.79	413.31	325.33	211.11	547.62	286.51	140.71	24.2	47.36	124.28	108.87	0.31	18.99	0	0.38	0.44	0	0	0	0.05	0.26	0	0.07	0	0	0	0.03	0	185.62	81.76	48.21	508.76	149.31	45.38	0.1	0.08	19.18	88.53	206.68	423.29	944.47	337.7	117.58	85.62	0	123.85	180.19	393.07	1303.78	41.47	14.97	88.79	411.92	98.88	276.55	120.74	46.28	1.28	16.22	7.46	726.13	388.05	26.11	0	2.95	122.84	21.5	63.42	8.21	333.3	0.29	65.12	50.4	1.15	0	361.54	85.98	190.83	21.71	30.65	42.35	298.31	504.84	38.61	440.58	265.8	385.1	357.38	1.15	490.48	90.29	100.61	0.04	14.33	71.53	32.41	0	76.57	225.2	186.1	144.12	35.45	1642.79	33.38	207.32	270.78	197.4	29.76	49.42	70.93	103.23	441.13	647.52	808.27	941.11	244.03	0.11	71.75	8.62	114.5	149.44	39.71	55.49	92.43	60.54	197.21	395.74	93.58	72.1	109.29	105.66	199.93	143.77	115.45	15.82	145.81	73.44	312.88	236	45.05	13.95	71.37	61.16	14.93	103.84
COL4A3	ligand	literature supported	7.86	2.18	1.95	0.87	0	3.01	0	1.61	0	0	0.05	0.13	0	0	0	0	0	0	0	7.86	0.26	0.28	0	0	0	0	0	0.03	1.84	0	0	0.56	0.13	0	0	0.16	0	0	0	0	0	0	0	0	0	0	0.85	0.12	1.11	0	0.05	0.1	0	0.15	0.11	0	0	0	0.52	0	0	0	0.2	0.77	0	1.89	0	0	0	1.05	0	0.11	0	0	0	0	0	0	0	0	0.7	1.19	0	0	0	0	0.26	0	0	0.57	0.22	0	0.09	0	0	0	0	0	0.13	0	0	0.09	0	1.87	0.55	2.26	1.48	0	0	0	0	0.84	0.4	0	0	2.62	0	1.34	0.17	0	4.82	0.07	0.08	0.09	0.55	0.64	0.25	0.34	0	0.06	0.07	0	1.26	0	0	0.66	0	0.14	0	0.35	0.16	0	0	0	0
COL4A4	ligand	literature supported	64.27	10.48	15.69	7.85	0.89	18.45	1.38	14.89	0.39	0.56	0.17	0.15	0	0	0.19	0.18	0	0	0	12.4	0.26	0	0	0	0	0	0.03	0.02	20.9	0.22	0.24	3.86	1.09	0.18	0	0.08	0.04	0.97	0.28	0	0	0	0	0	0	0	6.02	2.08	9.53	0	0.1	0.89	0.81	1.37	1.25	0	0.38	0	0.64	0.46	0	0.62	2.3	0	0.12	3.26	0	0.28	0	6.02	0	0.66	0.13	0.1	0	0.2	0	0.27	0.31	0.08	10.48	0	0.66	0.64	0.5	0	3.36	1.66	0.14	4.98	1.85	0	0.32	0	0	0	0	0.12	0.82	0.09	2.75	0.17	0	12.15	4.02	8.05	16.33	0	0	0	0.04	6.42	4.06	0	1.45	16.56	0	4.81	1.04	0	64.27	0.72	1	0.9	3.13	6.55	4.02	2.74	0.94	0.14	6.52	0	16.62	0.14	10.17	3.26	0	0.78	0.26	2.13	2.18	0.31	0	0	0.96
COL4A5	ligand	literature supported	65.91	0.11	0.44	0	1.26	10.19	65.91	64.54	8	10.72	26.73	0.21	8.79	0	0	0	0	0.05	0	0	0	0	0	0	0.05	0.02	0	0	7.44	0.36	0.24	14.3	10.75	9.72	0	0	10.03	2.79	4.99	9.04	4.04	4.19	4.89	4.98	0	23.99	7.97	9.51	30.62	4.92	2.76	4.27	5.96	2.49	3.63	0.98	14.53	0	3.4	1.06	7.93	21.02	0.62	0.89	4.55	7.55	8.15	12.41	7.13	17.17	0	13.57	17	0.1	0	0.35	0.26	5.06	1.32	1.35	1.33	1.63	3.8	0.09	62.38	19.71	4.27	51.94	0	9.34	3.79	2.14	0	17.55	5.49	2.19	0	4.39	16.87	0.28	1.44	3.13	15.41	20.98	0	0.21	0	0.09	4.44	8.92	6.56	2.57	2.24	6.27	8.66	3.72	0	2.59	50.54	14.02	6.43	2.5	4.15	18.68	10.22	14.4	18.18	7.44	7.13	18.26	6.44	8.29	16.25	13.96	2.26	11.26	11.32	8.02	13.57	3.55	0.11	0.68	10.15	11.1	25.51
COL4A6	ligand	literature supported	103.18	0	0	0	0	16.43	68.97	14.47	3.25	5.06	34.13	0.15	21.71	0	0	0	0	0.04	0	0	0	0	0	0	0.05	0	0	0	0.13	0.05	0	2.29	4.76	35.45	0	0	25.92	1.63	3.74	0.26	3.27	1.99	1.85	1.56	0	54.08	6.21	4.64	19.16	8.2	1.42	2.21	8.05	1.25	2.16	0.37	17.45	0	0.43	1.08	3.17	9.85	0	1.55	3.07	3.95	28.67	42.22	10.41	10.14	0	14.98	34.31	0	0	0.08	0.02	3.86	0	0	0.13	0	0.27	0	103.18	17.3	0.13	61.27	0	0	0.19	0	0	22.32	16.53	5.64	0	0.91	3.01	0	0.34	0.43	5.41	18.76	0	0	0	0	5.05	13.82	5.62	2.12	2.89	1.38	6.75	3.06	0	2.53	76.74	26.63	0	0.29	0.95	41.34	8.69	11.02	6.64	4.36	3.79	13.22	5.4	7.31	41.07	19.21	2.26	18.19	8.64	5.11	5.73	3.19	0.11	0	10.36	23.53	87.02
COL5A1	ligand	literature supported	1186.54	318.93	285.09	241.64	184.01	35.8	673.92	545.66	52.23	173.43	51.99	7.74	0.49	4.11	0	1	0	0	0	0	4.74	1.98	0.07	0	0.57	0.02	0.21	0.23	278.75	244.01	843.35	355.35	100.9	0	0.04	0	6.24	51.05	80.1	9.57	9.96	127.03	16.46	40.42	1.94	0	256.98	282.73	541.64	45.22	8.85	121.79	270.53	110.97	149.84	282.12	3.28	12.77	135.23	68.7	207.34	720.4	5.31	0.11	1.97	83.04	2.83	0.93	66.78	267.42	0	26.46	3.45	7.68	0	32.91	11.13	101.96	300.95	109.88	126.83	257.95	144.37	47.86	569.22	1186.54	591.29	101.92	0.22	263.37	87.7	420.94	0.38	34.21	6.27	6.67	0.14	75.68	418.27	361.67	226.85	91.23	383	699.61	642.36	604.5	430.41	255.41	110.87	7.51	140.82	6.81	20.63	51.99	91.42	3.42	0.11	15.73	34.14	25.66	279.59	40.75	93.16	34.43	87.37	108.97	189.96	145.95	134.19	172.49	67.82	177.5	68.86	221.28	131.09	107.12	115.38	139.95	465.73	29.45	142.07	388.98	129.61	4.64	12.16
COL5A2	ligand	literature supported	1231.22	768.51	1047.21	743.23	255.66	40.98	119.03	52.55	416.48	153.57	81.36	1.5	10.41	0	0	1.66	0	0	0	0	0.26	0	0.07	0	0	0	0	0	332.39	441.11	1231.22	95.52	45.43	25.31	0.1	0	3.47	85.34	104.85	80.7	102.33	159.73	66.29	47.66	0	38.38	389.3	459.1	1212.69	330.86	71.29	317.37	339.48	321.66	389.07	758.92	34.03	0	361.12	284.09	142.97	693.73	9.03	0.39	65.43	164.02	19.82	39.72	251.7	180.42	0.13	117.24	12.26	1.3	0	169.5	32.89	326.91	661.2	391.04	424.89	335.55	557.19	129.82	1066.3	589.59	781.96	462.4	0	1012.1	234.18	766.65	0	16.31	26.48	15.98	0	256.99	497.14	388.29	317.77	222.07	385.8	117.18	1140.23	1117.73	529.85	211.97	193.04	55.64	458.89	48.57	107.9	68.77	140.44	23.92	0	24.52	63.82	102.88	676.48	200.29	334.81	41.92	213.02	216.7	654	247.56	178.76	646.82	153.61	456.91	240.86	697.56	209.07	243.91	261.67	111.23	526.87	133.39	163.24	737.6	374.71	17.13	53.6
COL5A3	ligand	literature supported	170.9	50.97	16.19	2.62	65.73	0.82	0	0	4.18	0.98	1.54	0.05	0	0	0	0	0	0	0	0	0.26	0	0	0	0.04	0	0.27	0.07	9.33	71.64	19.61	3.61	0.09	1.84	0.29	0	0.49	0	0.21	0	0.87	0	0.07	0	0	0.87	3.79	9.22	52.65	5.16	4.39	4.14	17.96	10.9	6.47	23.15	1.73	0	3.56	2.14	8.78	10.7	1.44	4.32	0	0.34	0.22	0.65	2.34	0.16	0.05	1.69	0.53	0.26	0	99.94	14.03	4.98	61.02	14.07	6.96	170.9	0.27	3.21	1.67	4.88	1.16	0.13	0.44	81.54	2.66	151.98	0.21	0	2.68	1.57	0	6.24	7.35	11.53	11.57	15.73	39.21	0.3	11.37	4.58	2.97	36.62	18.74	0.35	4.82	0	0.04	0	0	0	0	0	15.08	6.87	0	16.89	14.3	0.43	1.71	4.97	4.19	5.43	6.01	3.8	5.29	2.44	2.07	5.63	1.13	0.74	1.93	3.77	0.1	3.19	7.44	19.14	1.79	0.03	0.22
COL6A1	ligand	putative	7222.02	900.27	1094.67	625.47	2483.99	62.2	31.89	199.36	2358.61	1124.93	116.46	1.3	0.47	0.59	2.3	7.21	0	0.05	0.06	0	1.05	3.38	3.92	0.6	0.2	1.59	0.38	1.6	787.52	2674.31	1468.19	169.32	108.65	2.58	46.8	0	104.81	65.8	18.4	25.59	28.44	19.92	7.24	17.4	0.66	5.67	723.25	692.6	3424.41	1130.84	1268.38	2023.66	4300.22	1106.36	190.57	1095.41	29.25	0	4397.02	2065.69	769.93	4238.55	83.07	12.23	46.12	142.06	8.6	15.74	2084.13	166.51	45.74	42.87	15.68	32.04	0	396.38	151.59	793.51	3202.73	2510.28	1370.78	7222.02	606.84	643.05	2977.48	1703.95	880.47	110.14	2.97	1655.18	653.48	3670.26	3.43	9.51	75.08	71.3	0	2318.36	669.71	1166.69	1147.64	1880.42	4007.78	99.73	835.96	758.61	703.5	2960.9	2221.58	21.36	1826.09	54.43	74.83	66.59	167.7	62.84	0.22	73.59	68.72	314.83	1687.18	1465.87	1453.61	4.13	1089.62	1329.4	945.55	1415.24	1602.35	1015.75	812.98	1659.42	1195.78	1588.48	1496.23	901.89	1900.79	596.13	863.61	521.5	1262.03	3562.73	1891.77	8.51	10.97
COL6A2	ligand	putative	6150.42	881.95	1090.68	959.57	2167.05	75.23	54.78	218.41	2377.67	1524.45	111.78	15.17	0	0.88	3.52	22.65	0.07	0	0	0.49	1.32	9.47	19.71	7.3	1.09	11.63	4.86	36.86	1188.32	2002.36	1403.57	198.24	95.44	0.37	24.99	0.2	64.39	64	1.14	14.41	11.41	4.42	3.62	5.59	3.26	0.87	703.05	642.45	2023.18	1097.33	1569.2	1675.96	2786.96	1149.98	188.86	994.54	7.18	0	3102.61	1791.55	891.46	3291.71	66.71	12.34	7.63	103.63	0.93	0.37	2485.64	142.9	28.27	14.67	7.4	20.17	0	158.44	112.97	540.87	2576.93	2286.87	1415.42	6150.42	505.58	876.65	1403.49	1188.27	587.67	113.78	5	1543.68	510.59	1725.8	116.66	20.29	48.31	64.78	1.14	2391.4	945.41	1081.13	1399.68	1230.79	3424.54	131.28	1070.72	704.1	1185.86	2161.17	1702.46	5	1393.29	74.36	75.14	71.56	133.31	70.69	0	31.9	45.22	315.26	1129.61	1754.06	1517.08	1.96	732.8	1251.22	701.25	1428.63	1828.32	829.73	860.33	984.53	1385.32	1293.7	1431.81	916.37	1562.31	756.16	659.82	588.55	1588.88	3103.92	1819.47	11.54	3.17
COL6A3	ligand	putative	3041.44	739.21	346.5	82	732.93	111.1	67.35	4.94	1579.96	221.9	17	0.26	0	0	0	0.88	0	0	0	0.04	0	0	0.07	0	0	0.02	0.06	0	406.32	887.85	1834.1	225.43	7.38	0	0.41	0	0.25	21.72	0	24.93	2.28	4.46	0.07	1.53	0	0	642.52	543.52	3041.44	780.99	551.16	1604.03	1066.6	869.5	234.69	1539.54	1	0	1222.82	810.07	248.19	676.77	9.65	0.77	0	136.22	0.07	0	1009.77	109.54	0.35	7.75	3.61	5.23	0	103.53	36.49	693.48	2070.89	2695.82	1126.22	2452.34	701	751.13	1301.66	1102.7	762.96	2.44	0	489.53	260.67	2326.5	0.07	4.67	31.5	4.38	0	1361.34	497.6	947.66	825.17	963.8	2341.34	29.29	421.96	268.72	102.41	1100.52	1065.69	0.31	1135.63	7.56	19.13	15.88	205.19	4.54	0	25.44	14.99	113.54	244.24	1176.22	1697.23	1.05	475.56	225.49	513.38	1626.7	660.53	588.23	243.14	554.44	332.36	1565.98	525.49	235.3	1118.11	298.82	353.13	748.55	389.7	921.2	963.89	6.06	0.66
COL7A1	ligand	putative	173.31	0.5	0.86	0	2.37	2.44	80.07	64.79	8.99	11.4	5.67	0.68	57.82	0	0	1.58	0.14	0.13	0	0.12	0	0.28	0.26	0	0.02	0	0	0.07	0.45	2.6	54.42	11.9	13.61	54.04	0.09	0.08	3.37	0.22	0	0.12	0	0	0.03	0.06	0	105.97	2.67	2.57	76.99	2.81	8.37	18.32	3.43	14.93	0.34	7.19	61.52	0	44.49	31.85	0.7	3.44	0	6.37	0.12	4.29	34.59	74.16	9.43	4.52	0.05	20.98	35.44	4.68	0	0	1.17	16.77	14.89	2.69	10.4	11.93	9.37	4.72	27.58	10.86	8.4	0.2	1.46	3.73	3.23	1.16	0.14	34.33	1.79	0.63	0.25	10.12	21.06	4.67	7.84	10.25	171.45	173.31	1.45	1.22	1.48	14.47	7.21	14.35	11.66	15.27	25.02	3.54	28.45	12.57	0	1.07	154.51	24.15	0	2.77	3.97	44.1	6.85	2.4	15.77	6.58	7.7	11.7	1.67	22.92	2.03	12.71	2.26	1.36	5.48	1.75	1.89	17.03	1.07	3.84	7.21	53.72	118.52
COL8A1	ligand	literature supported	2278.55	1294.23	1582.04	2278.55	186.54	64.88	1.56	0.89	88.13	137.41	54.89	0.05	39.06	0	0	2.59	0	0	0	0	1.05	0	0.07	0	0	0	0.06	0	108.21	183.99	264.07	142.73	264.72	1.84	0	0	0.04	101.57	138.62	105.02	112.3	234.29	135.93	15.19	0	1.74	49.53	114.77	198.52	16.64	14.38	395.45	49.73	285.25	294.7	1103.93	11	0	252.42	416.25	55.14	64.12	0.42	0	0.49	184.95	11.12	47.22	33.27	392.21	0.08	19.16	27.24	0.31	0.99	106.59	1.53	161.26	22.66	182.68	107.64	26.89	182.82	166.61	134.53	303.13	189	434.32	0	789.13	495.1	140.14	0	0.52	2.16	5.95	0	99.91	137.16	232.8	662.34	80.89	21.7	3.88	703.99	665.82	1243.74	45.54	80.94	5.37	78.24	29.56	57.18	69.21	163.38	53.35	0	133.82	15.79	80.42	474.02	22.11	27.91	38.02	64.2	234.52	544.79	91.54	49.91	119.48	60.62	51.2	176.63	167.88	42.94	150.2	39.09	299.49	457.22	13.48	35.82	280.44	37.99	30.91	1.75
COL9A1	ligand	literature supported	4.6	0	0	0	0	0	0	0	0	0.29	0.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0.24	0	1.57	0	0	0	4.6	0	0	0	0	0	0	0	0	0	0	0	0	0.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	3.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92	0.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0
COL9A2	ligand	literature supported	104.88	0.99	0.14	0	0.17	2.01	2.17	0	4.92	104.88	27.59	0.13	0.41	1.47	0.53	0.66	0.77	0.27	0.64	2.47	0.26	0.94	0.66	0.6	0.28	0.13	0.1	0.85	0.98	0.19	69.12	0.06	50.96	0.37	0.1	0	2.84	0	0.09	0	0.22	0	0.07	0	10.47	1.31	0.43	0.19	6.98	1.41	0.38	0.51	1.27	0.97	0.11	0.29	0.34	1.28	18.97	2.37	0	7.73	0.62	0.39	2.95	11.84	0.03	1.2	0.68	12.31	0	0.51	0.03	0.27	0	0.08	0.1	0.21	0.23	0	0.29	14.52	0.65	1.3	0.54	7.25	0	0.07	5.04	0	0.16	0.53	0.6	0.14	13.11	9.35	2.71	8.29	0.08	1.31	0.89	0.87	6	0.1	1.6	0.8	0	0.4	0.29	0.6	0.17	6.18	2.08	1.42	4.89	2.61	0	32.53	0.88	0	0	0.49	1.28	0.12	0.17	0	0.69	3.38	0.32	1.51	0	1.46	0.12	0.21	0	0.15	2.43	0.3	0.24	0	0.11	1.85	2.68	0.06	1.01
COL9A3	ligand	literature supported	180.87	0.49	0.14	0	0.09	0	5.9	2.93	19.37	1.91	15.56	0.63	0	0	0.09	0.57	0.49	1.1	0.66	8.03	0.79	0.56	0	0	0.11	0.04	0.09	0.12	17.11	0.65	180.87	0.24	3.88	3.68	0.38	1.85	20.99	0.09	0.07	0.31	1.53	0	0.09	0	7.13	0	0.06	3.24	2.12	1.87	0.23	0.61	0	0.22	0.91	0	0.29	0	0	0	0	24.96	2	0.34	4.3	7.03	0.61	1.76	0.85	13.1	0.08	0.21	0.22	0.06	0	0	4.01	0.3	0.16	0.06	0.17	3.86	0.13	0.17	2.92	19.45	0	0	0.46	0.57	0.45	4.18	0	0.14	102.14	19.13	9.33	18.46	0.04	0.28	1.72	0.17	9.5	7.56	0.12	0.04	0	0	0.03	1.97	0.36	0.46	1.05	0.11	1.7	0.7	0.11	22.68	0.46	0.33	0	1.58	1.79	0	0.08	0	0.29	1.15	0	0.69	0	4.88	0.24	0.14	0	0	5.81	0.08	0.69	0	1.37	0.4	1.75	0.22	0
COLQ	ligand	literature supported	12.86	0	0	0	0	0	0	0	0	0.59	0	5.48	0	0.29	0.51	3.38	0.21	0.71	0	0.05	0.53	0.28	1.98	0.5	0.68	1.14	3.69	3.82	1.63	0	0	0	0	0	0	0.35	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	1.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.05	0	0	1.16	12.86	0	0	0.47	0.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0.28	0	0	0
CORT	ligand	literature supported	1.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0.52	0	0.41	0	0	0	0	0	0	0	0	0.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37	0	0	0	0	0	0	0.17	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0.14	0	0	0
CP	ligand	literature supported	2001.25	1.89	0.9	0.87	0.78	0.12	0	0	0	1.37	2.63	0	0.12	0	0	0	0	0	0	0.05	0.79	0	0	0	0	0	0	0	0.09	4.95	2.68	6.04	13.15	0	0.04	0	0	0	0	0	0	0	0	0.06	0	0	0.18	0.04	0.29	0.23	0	0.06	0	0.05	0.34	0	0	0	0	0.23	0	0.21	2001.25	0.11	0	37.57	0	0	0	41.11	0.08	0	0	0	0	0.39	0	0	0	4.12	0	0	0	0	1.46	0	0	0.1	0	0	0	0	0	0	1.43	2.52	0	0.58	0.16	0	0	0	0	0	0	0	0	0	0.17	0.13	0	0.04	0	0	0	0	0	1.06	3.6	0	0	0	0.03	0.36	0.15	0.09	0	0	0	0	0.28	0	0.12	0	0	3.75	0	0.08	0	0	1.84	6.32	0	0.03	0
